"uniqueID";"completion_time_min";"completion_time";"completion_time_sec";"timestamp_start";"timestamp_end";"sender";"sender_id";"ended_on";"strategy";"comment_general";"include";"uniqueID_t1";"gender_t1";"age_t1";"entry_via_t1";"seriousness_t1";"condition_t1";"completion_time_min_t1";"completion_time_t1";"completion_time_sec_t1";"timestamp_start_t1";"timestamp_end_t1";"sender_t1";"sender_id_t1";"ended_on_t1";"svs_angle_t1";"SVOtyp_ring_t1";"svs_angle_slider_t1";"SVOtyp_slider_t1";"include_t1";"mean_angle";"measure_self";"dec_self_slider";"dec_self_ring";"get_from";"dec_self";"dec_other";"Betrag_t1";"Betrag";"Betrag_total"
11;6,03439500000005;362063,700000003;362,063700000003;"2026-06-16T13:37:44.568Z";"2026-06-16T13:43:46.632Z";"root";NA;"completion";" ";" ";1;98;"male";28;"touchscreen";"serious";"slider_first";4,533425;272005,5;272,0055;"2026-06-09T19:59:48.507Z";"2026-06-09T20:04:20.530Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";7;7;177;300;273;6,73;9,28;16,01
12;46,330125;2779807,5;2779,8075;"2026-06-16T13:38:24.943Z";"2026-06-16T14:24:44.750Z";"root";NA;"completion";"In etwa der ersten Hälfte habe ich meistens nur einen Betrag aufgedeckt, und zwar bei der Option, die anhand der sichtbaren Beträge insgesamt besser für beide Personen aussah. Dabei habe ich bevorzugt einen meiner eigenen Beträge angesehen.

In der zweiten Hälfte habe ich meist bei beiden Optionen jeweils einen eigenen Betrag aufgedeckt, um sie besser vergleichen zu können.

Grundsätzlich habe ich die Option gewählt, bei der für beide zusammen am meisten Geld herauskam. Wenn beide Optionen insgesamt gleich oder fast gleich waren, habe ich die Option genommen, bei der ich selbst mehr bekommen hätte.

Anfangs habe ich möglichst wenige zusätzliche Informationen aufgedeckt, weil jede weitere Aufdeckung die Auszahlung für beide Personen verringert. Später habe ich die zusätzliche Information für insgesamt 0,20 € genutzt, weil ich gemerkt habe, dass sie für meine Entscheidungsstrategie hilfreich war. Weitere Beträge wollte ich trotzdem nicht aufdecken. Statt noch mehr sicheren Verlust für beide Personen zu verursachen, habe ich mich dann auf die bereits vorhandenen Informationen und den verbleibenden Zufall verlassen.";"";1;48;"male";34;"mouse";"serious";"slider_first";18,47289;1108373,4;1108,3734;"2026-06-09T15:10:09.111Z";"2026-06-09T15:28:37.485Z";"root";NA;"completion";37,7697573607484;"Prosocial";40,9991945322146;"Prosocial";1;39,3844759464815;"slider";13;9;184;300;0;4;6,27;10,27
13;2,8614300000002;171685,800000012;171,685800000012;"2026-06-16T13:39:57.723Z";"2026-06-16T13:42:49.410Z";"root";NA;"completion";" ";" ";0;80;"female";62;"touchscreen";"serious";"slider_first";3,00630833333333;180378,5;180,3785;"2026-06-09T17:53:37.721Z";"2026-06-09T17:56:38.100Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;NA;NA;NA;NA;NA;NA;1;1;2
14;17,0833833333333;1025003;1025,003;"2026-06-16T13:42:58.556Z";"2026-06-16T14:00:03.548Z";"root";NA;"completion";" ";" ";1;29;"female";34;"touchscreen";"serious";"slider_first";64,7077833333333;3882467;3882,467;"2026-06-09T12:06:07.312Z";"2026-06-09T13:10:49.698Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";15;7;28;48;150;2,98;5,29;8,27
15;5,19348166666677;311608,900000006;311,608900000006;"2026-06-16T13:44:41.054Z";"2026-06-16T13:49:52.912Z";"root";NA;"completion";" Gucken ob bei den niedrigeren Auswahlmöglichkeiten eine höhere Zahl aufgedeckt wird als bei der ursprünglich höheren Variante, um die höchste Auszahlungschance zu haben aber nicht zu. Viel aufdecken zu müssen. ";" ";1;117;"female";25;"touchscreen";"serious";"slider_first";4,13263333333333;247958;247,958;"2026-06-09T22:24:31.649Z";"2026-06-09T22:28:39.832Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";14;14;31;300;150;5,5;7,4;12,9
16;7,98394499999881;479036,699999928;479,036699999928;"2026-06-16T13:45:50.217Z";"2026-06-16T13:53:49.255Z";"root";NA;"completion";"Erstmal meine beste Option anhand des ersten Feldes gesucht und dann je nach nähe zur anderen Option weitere aufgedeckt.";" ";1;111;"female";11;"keyboard";"serious";"slider_first";34,7121966666669;2082731,80000001;2082,73180000001;"2026-06-09T21:02:50.672Z";"2026-06-09T21:37:33.406Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";9;12;147;300;150;5,5;5,57;11,07
17;7,666;459960;459,96;"2026-06-16T13:47:53.141Z";"2026-06-16T13:55:57.580Z";"root";NA;"completion";" Ich habe ab der zweiten oder dritten Aufgabe größtenteils versucht bei dem Feld mit dem geringeren Auszahlungsbetrag für mich ein weiteres Feld kostenlos aufzudecken. Dann habe ich kein weiteres mehr aufgedeckt, um nicht sicher -0,10€ zu bekommen. Ich habe kurz überlegt, ob ich ein Muster erkenne und im Zweifel das ausgewählt, wo es den höheren Auszahlungsbetrag gab oder ich aufgrund eines Musters erwartet habe, dass der Betrag höher sein könnte ";" ";1;95;"male";33;"touchscreen";"serious";"ring_first";4,8113550000002;288681,300000012;288,681300000012;"2026-06-09T19:54:32.480Z";"2026-06-09T19:59:21.372Z";"root";NA;"completion";7,53733805729811;"Individualist";19,9298535472136;"Individualist";1;13,7335958022559;"slider";15;13;71;300;210;6,1;7,17;13,27
18;7,1079;426474;426,474;"2026-06-16T13:47:39.796Z";"2026-06-16T13:54:46.279Z";"root";NA;"completion";" Gewinnmaximierung am liebsten für mich und wenn das nicht möglich erscheint, dann für die andere Partei. Sollen beide was davon haben.";" ";1;1;"female";56;"mouse";"serious";"slider_first";7,54375;452625;452,625;"2026-06-09T07:42:28.258Z";"2026-06-09T07:50:00.893Z";"root";NA;"completion";37,5068128696839;"Prosocial";41,384570012072;"Prosocial";1;39,445691440878;"ring";7;23;88;300;256;6,56;8,98;15,54
19;11,5248666666667;691492;691,492;"2026-06-16T13:49:05.949Z";"2026-06-16T14:00:37.446Z";"root";NA;"completion";" Höhe der ersten angezeigten Beträge beider Optionen. Letzten Betrag aufdecken.";" ";1;33;"male";67;"mouse";"serious";"slider_first";12,13815;728289;728,289;"2026-06-09T12:09:55.285Z";"2026-06-09T12:22:03.582Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";10;13;60;100;48;2,48;5,57;8,05
20;4,17704333333373;250622,600000024;250,622600000024;"2026-06-16T13:50:03.410Z";"2026-06-16T13:54:14.039Z";"root";NA;"completion";" Gewinnmaximierung";" ";1;46;"female";30;"touchscreen";"serious";"slider_first";14,6508366666655;879050,199999928;879,050199999929;"2026-06-09T14:05:19.546Z";"2026-06-09T14:19:58.605Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";13;7;62;-73;48;0,75;9,34;10,09
21;5,488395;329303,7;329,3037;"2026-06-16T13:50:40.147Z";"2026-06-16T13:56:09.463Z";"root";NA;"completion";" ";" ";1;73;"female";28;"touchscreen";"serious";"slider_first";5,78589333333333;347153,6;347,1536;"2026-06-09T16:31:05.397Z";"2026-06-09T16:36:52.562Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";13;7;49;-41;241;3;5,49;8,49
22;5,56745;334047;334,047;"2026-06-16T14:03:59.994Z";"2026-06-16T14:09:34.043Z";"root";NA;"completion";" ";" ";1;91;"female";22;"other1";"serious";"ring_first";13,1531166666667;789187;789,187;"2026-06-09T19:41:45.854Z";"2026-06-09T19:54:55.042Z";"root";NA;"completion";38,2835278964403;"Prosocial";38,2528619515734;"Prosocial";1;38,2681949240068;"ring";13;24;161;152;0;2,52;7,12;9,64
23;7,14924166666667;428954,5;428,9545;"2026-06-16T14:04:50.633Z";"2026-06-16T14:11:59.589Z";"root";NA;"completion";" ich habe nur meine eigenen Auszahlungen angeschaut, um den abgezogenen Betrag klein zu halten, dann habe ich verglichen wo ich am ehesten das meiste bekommen würde";" ";1;100;"female";20;"keyboard";"serious";"ring_first";5,28239833333095;316943,899999857;316,943899999857;"2026-06-09T20:04:57.423Z";"2026-06-09T20:10:14.368Z";"root";NA;"completion";24,6915581634781;"Prosocial";30,3607622360074;"Prosocial";1;27,5261601997427;"slider";7;6;27;296;150;5,46;6,81;12,27
24;7,09426666666667;425656;425,656;"2026-06-16T14:07:07.181Z";"2026-06-16T14:14:12.845Z";"root";NA;"completion";" ";" ";1;50;"male";25;"mouse";"serious";"ring_first";6,7779;406674;406,674;"2026-06-09T15:21:24.989Z";"2026-06-09T15:28:11.649Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";12;19;183;300;150;5,5;5,44;10,94
25;6,4299199999998;385795,199999988;385,795199999988;"2026-06-16T14:07:11.301Z";"2026-06-16T14:13:37.121Z";"root";NA;"completion";" Mir ging es primär um meinen eigenen Gewinn, sodass mich nicht interessiert hat wie hoch der Betrag der anderen Person ist ";" ";1;67;"female";27;"mouse";"serious";"slider_first";10,1271083333333;607626,5;607,6265;"2026-06-09T16:05:50.768Z";"2026-06-09T16:15:58.448Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";1;24;137;300;100;5;8,15;13,15
26;16,9209783333333;1015258,7;1015,2587;"2026-06-16T14:10:24.574Z";"2026-06-16T14:27:19.837Z";"root";NA;"completion";"- Im großen Kasten mit der kleineren Auszahlung für mich die ersten Fragezeichen aufgedeckt. War der zusammengerechnete Betrag niedriger als der im anderen großen Kasten, im gleichen großen Kasten die dritten Fragezeichen in meiner Reihe aufgedeckt. Sonst im anderen Lasten. Und so weiter.";" ";1;104;"male";38;"mouse";"serious";"slider_first";12,6346166666667;758077;758,077;"2026-06-09T20:27:06.909Z";"2026-06-09T20:39:44.990Z";"root";NA;"completion";25,1699959160965;"Prosocial";34,5568059365031;"Prosocial";1;29,8634009262998;"slider";1;16;242;300;300;7;5,86;12,86
27;2,4384;146304;146,304;"2026-06-16T14:10:56.875Z";"2026-06-16T14:13:23.179Z";"Instruction_payoffs";"9";"form submission";NA;NA;0;24;"female";26;"mouse";"serious";"ring_first";6,56354333333336;393812,600000001;393,812600000002;"2026-06-09T11:20:18.539Z";"2026-06-09T11:26:52.354Z";"root";NA;"completion";71,2001148413473;"Altruist";44,1745776390859;"Prosocial";1;57,6873462402166;"slider";5;7;192;262;255;6,17;7,34;13,51
28;5,08193833333328;304916,299999997;304,916299999997;"2026-06-16T14:13:52.828Z";"2026-06-16T14:18:57.747Z";"root";NA;"completion";" ";" ";1;77;"female";24;"keyboard";"serious";"slider_first";6,78572166666668;407143,300000001;407,143300000001;"2026-06-09T17:41:12.517Z";"2026-06-09T17:47:59.662Z";"root";NA;"completion";43,1858080909701;"Prosocial";35,0500140324312;"Prosocial";1;39,1179110617007;"slider";9;2;164;300;-73;3,27;7,56;10,83
29;37,6123333333333;2256740;2256,74;"2026-06-16T14:10:56.875Z";"2026-06-16T14:48:33.620Z";"root";NA;"completion";" ";" ";1;24;"female";26;"mouse";"serious";"ring_first";6,56354333333336;393812,600000001;393,812600000002;"2026-06-09T11:20:18.539Z";"2026-06-09T11:26:52.354Z";"root";NA;"completion";71,2001148413473;"Altruist";44,1745776390859;"Prosocial";1;57,6873462402166;"slider";5;7;192;262;255;6,17;7,34;13,51
30;10,4515833333333;627095;627,095;"2026-06-16T14:24:10.061Z";"2026-06-16T14:34:37.168Z";"root";NA;"completion";" ";" ";1;116;"male";35;"mouse";"serious";"ring_first";9,73558333333333;584135;584,135;"2026-06-09T22:08:52.055Z";"2026-06-09T22:18:36.196Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";10;14;2;200;225;5,25;7,05;12,3
31;38,9875566666667;2339253,4;2339,2534;"2026-06-16T14:26:56.590Z";"2026-06-16T15:05:55.872Z";"root";NA;"completion";" Ich habe zuerst die sichtbaren Beträge für mich verglichen. Danach habe ich meistens einen verdeckten Betrag in der Selbst Zeile der vielversprechenderen Option aufgedeckt. Wenn eine Option danach klar besser war, habe ich sie gewählt, ohne weitere kostenpflichtige Informationen aufzudecken. Nur wenn die Entscheidung noch knapp war, habe ich zusätzliche Beträge aufgedeckt.";" ";1;94;"male";26;"mouse";"serious";"slider_first";26,2494083333333;1574964,5;1574,9645;"2026-06-09T19:50:02.823Z";"2026-06-09T20:16:17.793Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";14;19;214;200;-93;2,07;5,12;7,19
32;16,8221333333333;1009328;1009,328;"2026-06-16T14:27:50.880Z";"2026-06-16T14:44:40.218Z";"root";NA;"completion";" ";" ";1;10;"male";60;"mouse";"serious";"ring_first";18,32535;1099521;1099,521;"2026-06-09T08:30:24.195Z";"2026-06-09T08:48:43.728Z";"root";NA;"completion";-8,98156929931156;"Individualist";28,1416012322617;"Prosocial";1;9,58001596647507;"slider";7;24;6;278;200;5,78;8,24;14,02
33;9,75770166666657;585462,099999994;585,462099999994;"2026-06-16T14:34:20.809Z";"2026-06-16T14:44:06.271Z";"root";NA;"completion";" ich habe mir gedanken gemacht wie der andere und ich am meisten profitieren";" es hat sehr viel spass gemacht";1;37;"male";25;"mouse";"serious";"ring_first";14,32965;859779;859,779;"2026-06-09T12:21:52.247Z";"2026-06-09T12:36:12.026Z";"root";NA;"completion";0;"Individualist";14,3032658067437;"Individualist";1;7,15163290337185;"ring";3;13;69;-73;270;2,97;5,45;8,42
34;4,56387833333313;273832,699999988;273,832699999988;"2026-06-16T14:34:51.842Z";"2026-06-16T14:39:25.676Z";"root";NA;"completion";" Ich habe immer versucht mir beide Optionen anzuschauen und dann zu entscheiden. Meist hab ich die Kosten für das zweite nicht-kostenfreie Aufdecken so auch wieder hereingeholt.";" ";1;53;"male";23;"mouse";"serious";"slider_first";3,77944166666667;226766,5;226,7665;"2026-06-09T15:31:42.158Z";"2026-06-09T15:35:28.925Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";7;19;16;0;-100;0;8,09;8,09
35;2,76131666666667;165679;165,679;"2026-06-16T14:37:04.809Z";"2026-06-16T14:39:50.508Z";"root";NA;"completion";" ";" ";0;51;"female";20;"mouse";"serious";"slider_first";8,7038;522228;522,228;"2026-06-09T15:26:28.944Z";"2026-06-09T15:35:11.185Z";"root";NA;"completion";7,19923363836765;"Individualist";40,3075444429674;"Prosocial";1;23,7533890406675;NA;NA;NA;NA;NA;NA;1;1;2
36;2,98398333333333;179039;179,039;"2026-06-16T14:40:50.153Z";"2026-06-16T14:43:49.207Z";"root";NA;"completion";" ";" ";0;75;"male";39;"mouse";"serious";"slider_first";6,52133333333333;391280;391,28;"2026-06-09T17:15:27.320Z";"2026-06-09T17:21:58.614Z";"root";NA;"completion";45;"Prosocial";40,4889670655447;"Prosocial";1;42,7444835327723;NA;NA;NA;NA;NA;NA;1;1;2
37;5,68925666666677;341355,400000006;341,355400000006;"2026-06-16T14:49:11.764Z";"2026-06-16T14:54:53.122Z";"root";NA;"completion";"Ich habe immer die Antworten gewählt, bei denen die Verteilung so gleich wie möglich war.";" ";1;21;"female";28;"mouse";"serious";"slider_first";6,22415666666677;373449,400000006;373,449400000006;"2026-06-09T09:48:36.738Z";"2026-06-09T09:54:50.190Z";"root";NA;"completion";27,9736799124164;"Prosocial";42,4283379632255;"Prosocial";1;35,201008937821;"slider";9;6;231;256;225;5,81;5,45;11,26
38;21,4795;1288770;1288,77;"2026-06-16T14:51:18.936Z";"2026-06-16T15:12:47.725Z";"root";NA;"completion";" von meinem höchsten Auszahlungsbetrag, zusammenaddierend und dann geschätzt.";" ";1;28;"male";67;"mouse";"serious";"ring_first";28,9799166666667;1738795;1738,795;"2026-06-09T12:03:28.349Z";"2026-06-09T12:32:27.166Z";"root";NA;"completion";35,116881410898;"Prosocial";44,4632032812896;"Prosocial";1;39,7900423460938;"slider";15;14;1;300;100;5;6,95;11,95
39;6,05638833333333;363383,3;363,3833;"2026-06-16T14:51:59.445Z";"2026-06-16T14:58:02.829Z";"root";NA;"completion";" Habe erst immer einen Betrag bei der Option mit höherem Ausgangswert aufgedeckt, dann Strategie gewechselt";" ";1;60;"male";37;"mouse";"serious";"slider_first";4,73282666666667;283969,6;283,9696;"2026-06-09T14:48:58.436Z";"2026-06-09T14:53:42.408Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";12;12;181;-93;278;2,85;7,32;10,17
40;6,27291166666659;376374,699999996;376,374699999996;"2026-06-16T15:15:54.015Z";"2026-06-16T15:22:10.381Z";"root";NA;"completion";" welcher Betrag bei \"selber\" größer war, dann 1 aufdecken lassen bei beiden, höheren Gewinn genommen (abgeschätzt höherer Gewinn)";" ";1;16;"female";20;"mouse";"serious";"ring_first";8,07992166666686;484795,300000012;484,795300000012;"2026-06-09T09:13:41.547Z";"2026-06-09T09:21:46.331Z";"root";NA;"completion";7,47155917659238;"Individualist";34,1783306016118;"Prosocial";1;20,8249448891021;"ring";2;23;58;100;225;4,25;5,16;9,41
41;5,21687166666587;313012,299999952;313,012299999952;"2026-06-16T15:19:45.599Z";"2026-06-16T15:24:58.612Z";"root";NA;"completion";" ";" ";1;68;"male";27;"mouse";"serious";"slider_first";7,88675;473205;473,205;"2026-06-09T16:15:46.908Z";"2026-06-09T16:23:40.114Z";"root";NA;"completion";37,5068128696839;"Prosocial";45;"Prosocial";1;41,2534064348419;"ring";10;24;56;152;150;4,02;8,94;12,96
42;15,1569183333337;909415,100000024;909,415100000024;"2026-06-16T15:28:20.017Z";"2026-06-16T15:43:29.433Z";"root";NA;"completion";" ";" ";1;34;"female";25;"mouse";"serious";"ring_first";12,2569549999952;735417,299999714;735,417299999714;"2026-06-09T12:17:20.334Z";"2026-06-09T12:29:35.752Z";"root";NA;"completion";9,86580694308437;"Individualist";36,9544904119328;"Prosocial";1;23,4101486775086;"ring";11;5;54;200;150;4,5;6;10,5
43;5,46226666666667;327736;327,736;"2026-06-16T15:30:51.971Z";"2026-06-16T15:36:19.725Z";"root";NA;"completion";"Ich wollte ZUsatzkosten vermeiden, da ich die Entscheidungsfindung sehr schwierig fand. Daher habe ich nur versucht, einen kleinen Teil aufzudecken und dann eher spontan zu entscheiden.";" ";1;45;"male";37;"mouse";"serious";"slider_first";23,1997;1391982;1391,982;"2026-06-09T13:52:37.476Z";"2026-06-09T14:15:49.469Z";"root";NA;"completion";33,2834008410999;"Prosocial";45;"Prosocial";1;39,14170042055;"ring";14;1;93;0;48;1,48;7,07;8,55
44;5,94885166666657;356931,099999994;356,931099999994;"2026-06-16T15:37:16.511Z";"2026-06-16T15:43:13.443Z";"root";NA;"completion";" ";" ";1;32;"male";37;"mouse";"serious";"slider_first";2,97628333333333;178577;178,577;"2026-06-09T12:15:30.530Z";"2026-06-09T12:18:29.108Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";4;16;94;48;-73;0,75;5,4;6,15
45;6,40139000000159;384083,400000095;384,083400000095;"2026-06-16T15:40:01.391Z";"2026-06-16T15:46:25.475Z";"root";NA;"completion";" ";" ";1;52;"female";57;"mouse";"serious";"ring_first";9,50245;570147;570,147;"2026-06-09T15:31:15.000Z";"2026-06-09T15:40:45.147Z";"root";NA;"completion";29,5165366559574;"Prosocial";16,9619533812933;"Individualist";1;23,2392450186253;"slider";13;2;13;300;152;5,52;6,63;12,15
46;14,8333666666667;890002;890,002;"2026-06-16T15:43:55.694Z";"2026-06-16T15:58:45.710Z";"root";NA;"completion";" Ich habe mich immer an der höchsten eigenen Auszahlung der beiden zunächst bekannten Optionen für mich orintiert und habe an dieser Stelle also der höchsten eigenen bekannten Auszahlung mit dem Aufdecken des ersten kostenlosen Fragezeichens begonnen: Wenn ich erwartet habe dass diese Option deutlich besser ist als die andere Seite und nicht geschlagen werden kann habe ich abgebrochen mit der weiteren Informationssuche um Kosten zu sparen. Die Auszahlung der anderen Person habe ich nicht in meine Entscheidung einbezogen und auch nicht beachtet.";" ";1;102;"male";35;"touchscreen";"serious";"ring_first";16,1852;971112;971,112;"2026-06-09T19:58:05.640Z";"2026-06-09T20:14:16.773Z";"root";NA;"completion";15,0791339749611;"Individualist";16,9619533812933;"Individualist";1;16,0205436781272;"slider";3;15;240;300;273;6,73;5,81;12,54
47;4,77739333333323;286643,599999994;286,643599999994;"2026-06-16T15:43:45.914Z";"2026-06-16T15:48:32.558Z";"root";NA;"completion";" ";" ";0;251;"female";39;"mouse";"serious";"ring_first";2,03965833333333;122379,5;122,3795;"2026-06-16T15:30:22.271Z";"2026-06-16T15:32:24.652Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;NA;NA;NA;NA;NA;NA;1;1;2
48;5,48655;329193;329,193;"2026-06-16T15:48:46.312Z";"2026-06-16T15:54:15.511Z";"root";NA;"completion";" ";" ";1;113;"male";23;"mouse";"serious";"slider_first";6,84874333333336;410924,600000001;410,924600000001;"2026-06-09T21:39:06.833Z";"2026-06-09T21:45:57.758Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";10;1;169;256;241;5,97;7,08;13,05
