"uniqueID_t1";"gender_t1";"age_t1";"entry_via_t1";"seriousness_t1";"condition_t1";"completion_time_min_t1";"completion_time_t1";"completion_time_sec_t1";"timestamp_start_t1";"timestamp_end_t1";"sender_t1";"sender_id_t1";"ended_on_t1";"svs_angle_t1";"SVOtyp_ring_t1";"svs_angle_slider_t1";"SVOtyp_slider_t1";"include_t1";"mean_angle";"measure_self";"dec_self_slider";"dec_self_ring";"get_from";"dec_self";"dec_other";"Betrag_t1";"Betrag";"Betrag_total";"include"
27;"male";32;"mouse";"serious";"slider_first";9,53396;572037,6;572,0376;"2026-06-09T12:03:24.869Z";"2026-06-09T12:12:56.907Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";1;6;86;300;255;6,55;6,51;13,06;1
28;"male";67;"mouse";"serious";"ring_first";28,9799166666667;1738795;1738,795;"2026-06-09T12:03:28.349Z";"2026-06-09T12:32:27.166Z";"root";NA;"completion";35,116881410898;"Prosocial";44,4632032812896;"Prosocial";1;39,7900423460938;"slider";15;14;1;300;100;5;6,95;11,95;1
29;"female";34;"touchscreen";"serious";"slider_first";64,7077833333333;3882467;3882,467;"2026-06-09T12:06:07.312Z";"2026-06-09T13:10:49.698Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";15;7;28;48;150;2,98;5,29;8,27;1
31;"male";24;"mouse";"serious";"ring_first";8,75961963333333;525577,178;525,577178;"2026-06-09T12:12:33.397Z";"2026-06-09T12:21:19.141Z";"root";NA;"completion";6,35727966055777;"Individualist";19,4385678496704;"Individualist";1;12,8979237551141;"slider";8;17;5;300;210;6,1;6,98;13,08;1
32;"male";37;"mouse";"serious";"slider_first";2,97628333333333;178577;178,577;"2026-06-09T12:15:30.530Z";"2026-06-09T12:18:29.108Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";4;16;94;48;-73;0,75;5,4;6,15;1
33;"male";67;"mouse";"serious";"slider_first";12,13815;728289;728,289;"2026-06-09T12:09:55.285Z";"2026-06-09T12:22:03.582Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";10;13;60;100;48;2,48;5,57;8,05;1
34;"female";25;"mouse";"serious";"ring_first";12,2569549999952;735417,299999714;735,417299999714;"2026-06-09T12:17:20.334Z";"2026-06-09T12:29:35.752Z";"root";NA;"completion";9,86580694308437;"Individualist";36,9544904119328;"Prosocial";1;23,4101486775086;"ring";11;5;54;200;150;4,5;6;10,5;1
35;"female";33;"touchscreen";"serious";"ring_first";6,9381649999996;416289,899999976;416,289899999976;"2026-06-09T12:17:39.543Z";"2026-06-09T12:24:36.024Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";3;23;174;300;225;6,25;6,01;12,26;1
36;"female";26;"touchscreen";"serious";"ring_first";18,9342166666667;1136053;1136,053;"2026-06-09T12:18:33.380Z";"2026-06-09T12:37:29.361Z";"root";NA;"completion";45;"Prosocial";35,4337385555479;"Prosocial";1;40,216869277774;"ring";3;17;171;-73;-41;-0,14;5,21;5,07;1
37;"male";25;"mouse";"serious";"ring_first";14,32965;859779;859,779;"2026-06-09T12:21:52.247Z";"2026-06-09T12:36:12.026Z";"root";NA;"completion";0;"Individualist";14,3032658067437;"Individualist";1;7,15163290337185;"ring";3;13;69;-73;270;2,97;5,45;8,42;1
38;"female";27;"mouse";"serious";"slider_first";6,00343000000001;360205,800000001;360,205800000001;"2026-06-09T12:27:37.227Z";"2026-06-09T12:33:37.411Z";"root";NA;"completion";28,7882688668514;"Prosocial";36,6646728074596;"Prosocial";1;32,7264708371555;"ring";8;7;136;293;293;6,86;7,52;14,38;1
39;"male";60;"mouse";"serious";"ring_first";8,08387999999995;485032,799999997;485,032799999997;"2026-06-09T12:29:02.964Z";"2026-06-09T12:37:07.997Z";"root";NA;"completion";23,4160307582304;"Prosocial";41,5915433634278;"Prosocial";1;32,5037870608291;"slider";4;19;38;274;48;4,22;9,68;13,9;1
40;"female";24;"touchscreen";"serious";"ring_first";8,19973000000318;491983,800000191;491,983800000191;"2026-06-09T12:35:32.319Z";"2026-06-09T12:43:44.303Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";15;14;170;300;256;6,56;6,27;12,83;1
41;"male";27;"mouse";"serious";"slider_first";11,9692166666667;718153;718,153;"2026-06-09T12:42:47.602Z";"2026-06-09T12:54:45.784Z";"root";NA;"completion";15,0078752205107;"Individualist";29,5772031701029;"Prosocial";1;22,2925391953068;"ring";6;1;19;293;293;6,86;5,41;12,27;1
42;"female";26;"mouse";"serious";"slider_first";4,80206333333353;288123,800000012;288,123800000012;"2026-06-09T13:10:45.531Z";"2026-06-09T13:15:33.649Z";"root";NA;"completion";0;"Individualist";14,3018379475877;"Individualist";1;7,15091897379385;"ring";11;2;76;152;-73;1,79;7,01;8,8;1
43;"female";33;"mouse";"serious";"slider_first";14,9768666666667;898612;898,612;"2026-06-09T13:25:35.515Z";"2026-06-09T13:40:34.146Z";"root";NA;"completion";37,5213104918518;"Prosocial";41,7019802665181;"Prosocial";1;39,6116453791849;"ring";3;5;91;-41;-93;-0,34;5,2;4,86;1
44;"female";26;"mouse";"serious";"slider_first";12,8264616666667;769587,699999999;769,587699999999;"2026-06-09T13:32:02.136Z";"2026-06-09T13:44:51.769Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";2;2;225;48;-41;1,07;6,16;7,23;1
45;"male";37;"mouse";"serious";"slider_first";23,1997;1391982;1391,982;"2026-06-09T13:52:37.476Z";"2026-06-09T14:15:49.469Z";"root";NA;"completion";33,2834008410999;"Prosocial";45;"Prosocial";1;39,14170042055;"ring";14;1;93;0;48;1,48;7,07;8,55;1
46;"female";30;"touchscreen";"serious";"slider_first";14,6508366666655;879050,199999928;879,050199999929;"2026-06-09T14:05:19.546Z";"2026-06-09T14:19:58.605Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";13;7;62;-73;48;0,75;9,34;10,09;1
47;"male";64;"mouse";"serious";"ring_first";11,6961333333333;701768;701,768;"2026-06-09T14:47:40.501Z";"2026-06-09T14:59:22.291Z";"root";NA;"completion";11,7881832991076;"Individualist";41,4145428196482;"Prosocial";1;26,6013630593779;"ring";12;1;211;0;293;3,93;5,87;9,8;1
48;"male";34;"mouse";"serious";"slider_first";18,47289;1108373,4;1108,3734;"2026-06-09T15:10:09.111Z";"2026-06-09T15:28:37.485Z";"root";NA;"completion";37,7697573607484;"Prosocial";40,9991945322146;"Prosocial";1;39,3844759464815;"slider";13;9;184;300;0;4;6,27;10,27;1
49;"female";19;"keyboard";"serious";"ring_first";16,0976150000006;965856,900000036;965,856900000036;"2026-06-09T15:16:00.094Z";"2026-06-09T15:32:05.953Z";"root";NA;"completion";23,5719191710989;"Prosocial";30,3736565455994;"Prosocial";1;26,9727878583492;"ring";14;13;101;241;256;5,97;7,89;13,86;1
50;"male";25;"mouse";"serious";"ring_first";6,7779;406674;406,674;"2026-06-09T15:21:24.989Z";"2026-06-09T15:28:11.649Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";12;19;183;300;150;5,5;5,44;10,94;1
51;"female";20;"mouse";"serious";"slider_first";8,7038;522228;522,228;"2026-06-09T15:26:28.944Z";"2026-06-09T15:35:11.185Z";"root";NA;"completion";7,19923363836765;"Individualist";40,3075444429674;"Prosocial";1;23,7533890406675;NA;NA;NA;NA;NA;NA;1;1;2;NA
52;"female";57;"mouse";"serious";"ring_first";9,50245;570147;570,147;"2026-06-09T15:31:15.000Z";"2026-06-09T15:40:45.147Z";"root";NA;"completion";29,5165366559574;"Prosocial";16,9619533812933;"Individualist";1;23,2392450186253;"slider";13;2;13;300;152;5,52;6,63;12,15;1
53;"male";23;"mouse";"serious";"slider_first";3,77944166666667;226766,5;226,7665;"2026-06-09T15:31:42.158Z";"2026-06-09T15:35:28.925Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";7;19;16;0;-100;0;8,09;8,09;1
54;"female";24;"touchscreen";"serious";"ring_first";11,3181933333333;679091,6;679,0916;"2026-06-09T15:35:15.779Z";"2026-06-09T15:46:34.857Z";"root";NA;"completion";15,0078752205107;"Individualist";16,9619533812933;"Individualist";1;15,984914300902;"slider";11;9;33;300;300;7;5,86;12,86;1
55;"female";23;"touchscreen";"serious";"ring_first";10,6307533333333;637845,199999999;637,845199999999;"2026-06-09T15:46:16.233Z";"2026-06-09T15:56:54.082Z";"root";NA;"completion";15,0791339749611;"Individualist";40,5273536393783;"Prosocial";1;27,8032438071697;"slider";10;20;17;300;256;6,56;6,1;12,66;1
56;"other";26;"mouse";"serious";"slider_first";9,9725;598350;598,35;"2026-06-09T15:47:17.402Z";"2026-06-09T15:57:15.763Z";"root";NA;"completion";3,25194560036386;"Individualist";42,0090909817406;"Prosocial";1;22,6305182910522;"slider";7;3;113;300;256;6,56;9,24;15,8;1
58;"female";27;"mouse";"serious";"ring_first";9,37678333333333;562607;562,607;"2026-04-29T22:17:10.765Z";"2026-04-29T22:26:33.383Z";"root";NA;"completion";24,3255752391261;"Prosocial";40,9197128120765;"Prosocial";1;32,6226440256013;"slider";10;2;155;225;270;5,95;6,27;12,22;1
59;"male";52;"mouse";"serious";"slider_first";19,4464833333333;1166789;1166,789;"2026-06-09T15:49:27.607Z";"2026-06-09T16:08:54.379Z";"root";NA;"completion";7,53733805729811;"Individualist";40,7281890013095;"Prosocial";1;24,1327635293038;"ring";6;15;24;-41;278;3,37;5,81;9,18;1
60;"male";37;"mouse";"serious";"slider_first";4,73282666666667;283969,6;283,9696;"2026-06-09T14:48:58.436Z";"2026-06-09T14:53:42.408Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";12;12;181;-93;278;2,85;7,32;10,17;1
61;"female";19;"keyboard";"serious";"slider_first";18,3595400000016;1101572,4000001;1101,5724000001;"2026-06-09T15:51:15.637Z";"2026-06-09T16:09:37.212Z";"root";NA;"completion";34,4245885602346;"Prosocial";22,6460035317714;"Prosocial";1;28,535296046003;"ring";15;9;128;48;150;2,98;6,57;9,55;1
62;"male";20;"mouse";"serious";"slider_first";7,67576666666667;460546;460,546;"2026-06-09T15:48:17.360Z";"2026-06-09T15:55:57.902Z";"root";NA;"completion";30,0212253575505;"Prosocial";33,9920650380479;"Prosocial";1;32,0066451977992;"ring";2;10;72;293;256;6,49;5,57;12,06;1
63;"female";32;"mouse";"serious";"ring_first";3,65211333333328;219126,799999997;219,126799999997;"2026-06-09T15:56:43.610Z";"2026-06-09T16:00:22.739Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";5;14;189;256;273;6,29;5,81;12,1;1
64;"male";29;"mouse";"serious";"slider_first";6,39748333333333;383849;383,849;"2026-06-09T16:03:45.083Z";"2026-06-09T16:10:08.947Z";"root";NA;"completion";34,8801769338699;"Prosocial";44,7618033762248;"Prosocial";1;39,8209901550473;"slider";11;24;215;150;210;4,6;6,45;11,05;1
65;"female";32;"mouse";"serious";"slider_first";6,67932166666587;400759,299999952;400,759299999952;"2026-06-09T16:05:01.088Z";"2026-06-09T16:11:41.849Z";"root";NA;"completion";30,0212253575505;"Prosocial";40,7281890013095;"Prosocial";1;35,37470717943;"ring";2;16;21;0;256;3,56;5,6;9,16;1
66;"male";29;"touchscreen";"serious";"slider_first";5,94978500000238;356987,100000143;356,987100000143;"2026-06-09T16:04:06.430Z";"2026-06-09T16:10:03.432Z";"root";NA;"completion";22,5531385269108;"Prosocial";33,6468363122172;"Prosocial";1;28,099987419564;"ring";13;15;149;48;233;3,81;9,87;13,68;1
67;"female";27;"mouse";"serious";"slider_first";10,1271083333333;607626,5;607,6265;"2026-06-09T16:05:50.768Z";"2026-06-09T16:15:58.448Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";1;24;137;300;100;5;8,15;13,15;1
68;"male";27;"mouse";"serious";"slider_first";7,88675;473205;473,205;"2026-06-09T16:15:46.908Z";"2026-06-09T16:23:40.114Z";"root";NA;"completion";37,5068128696839;"Prosocial";45;"Prosocial";1;41,2534064348419;"ring";10;24;56;152;150;4,02;8,94;12,96;1
69;"female";18;"mouse";"serious";"slider_first";17,6869866666666;1061219,2;1061,2192;"2026-06-09T16:21:56.636Z";"2026-06-09T16:39:37.876Z";"root";NA;"completion";45;"Prosocial";42,7945771596961;"Prosocial";1;43,8972885798481;"slider";6;10;187;300;255;6,55;5,87;12,42;1
70;"female";20;"keyboard";"serious";"slider_first";3069,27342833333;184156405,7;184156,4057;"2026-06-09T16:24:10.046Z";"2026-06-11T19:33:24.322Z";"root";NA;"completion";7,53733805729811;"Individualist";25,5800548552618;"Prosocial";1;16,55869645628;NA;NA;NA;NA;NA;NA;1;NA;1;NA
71;"male";27;"mouse";"serious";"ring_first";4,711615;282696,9;282,6969;"2026-06-09T16:28:48.530Z";"2026-06-09T16:33:31.227Z";"root";NA;"completion";0;"Individualist";17,4619871606664;"Individualist";1;8,7309935803332;"slider";10;11;133;300;256;6,56;6,99;13,55;1
72;"female";32;"mouse";"serious";"ring_first";9,57146333332856;574287,799999714;574,287799999714;"2026-06-09T16:30:27.860Z";"2026-06-09T16:40:02.149Z";"root";NA;"completion";37,5213104918518;"Prosocial";33,0106161470678;"Prosocial";1;35,2659633194598;"slider";1;13;222;256;270;6,26;6,06;12,32;1
73;"female";28;"touchscreen";"serious";"slider_first";5,78589333333333;347153,6;347,1536;"2026-06-09T16:31:05.397Z";"2026-06-09T16:36:52.562Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";13;7;49;-41;241;3;5,49;8,49;1
74;"male";29;"mouse";"serious";"slider_first";3,31089666666662;198653,799999997;198,653799999997;"2026-06-09T16:32:26.684Z";"2026-06-09T16:35:45.344Z";"root";NA;"completion";6,35727966055777;"Individualist";22,9609072268993;"Prosocial";1;14,6590934437285;"ring";5;8;87;293;300;6,93;6,82;13,75;1
75;"male";39;"mouse";"serious";"slider_first";6,52133333333333;391280;391,28;"2026-06-09T17:15:27.320Z";"2026-06-09T17:21:58.614Z";"root";NA;"completion";45;"Prosocial";40,4889670655447;"Prosocial";1;42,7444835327723;NA;NA;NA;NA;NA;NA;1;1;2;NA
76;"female";29;"mouse";"serious";"slider_first";6,1472;368832;368,832;"2026-06-09T17:34:50.237Z";"2026-06-09T17:40:59.088Z";"root";NA;"completion";7,53733805729811;"Individualist";16,9619533812933;"Individualist";1;12,2496457192957;"ring";6;11;46;0;0;1;8,39;9,39;1
77;"female";24;"keyboard";"serious";"slider_first";6,78572166666668;407143,300000001;407,143300000001;"2026-06-09T17:41:12.517Z";"2026-06-09T17:47:59.662Z";"root";NA;"completion";43,1858080909701;"Prosocial";35,0500140324312;"Prosocial";1;39,1179110617007;"slider";9;2;164;300;-73;3,27;7,56;10,83;1
78;"female";27;"touchscreen";"serious";"slider_first";2,45851333333651;147510,800000191;147,510800000191;"2026-06-09T17:48:29.036Z";"2026-06-09T17:50:56.547Z";"root";NA;"completion";-7,53733805729811;"Individualist";19,4170659861462;"Individualist";1;5,93986396442404;"ring";9;24;145;200;293;5,93;8,57;14,5;1
79;"male";64;"mouse";"serious";"ring_first";2,36210666666826;141726,400000095;141,726400000095;"2026-06-09T17:51:09.190Z";"2026-06-09T17:53:30.917Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;NA;NA;NA;NA;NA;NA;1;1;2;NA
80;"female";62;"touchscreen";"serious";"slider_first";3,00630833333333;180378,5;180,3785;"2026-06-09T17:53:37.721Z";"2026-06-09T17:56:38.100Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;NA;NA;NA;NA;NA;NA;1;1;2;NA
81;"female";21;"keyboard";"serious";"ring_first";2,4645;147870;147,87;"2026-06-09T17:54:47.849Z";"2026-06-09T17:57:15.723Z";"root";NA;"completion";5,14276455788424;"Individualist";16,9619533812933;"Individualist";1;11,0523589695888;"slider";2;21;185;300;255;6,55;10,22;16,77;1
82;"female";29;"mouse";"serious";"slider_first";8,58364666666662;515018,799999997;515,018799999997;"2026-06-09T17:55:42.851Z";"2026-06-09T18:04:17.853Z";"root";NA;"completion";52,5634958970672;"Prosocial";31,5538344280056;"Prosocial";1;42,0586651625364;"ring";3;12;209;241;152;4,93;6,13;11,06;1
83;"female";41;"mouse";"serious";"slider_first";15,4628416666667;927770,5;927,7705;"2026-06-09T18:03:59.508Z";"2026-06-09T18:19:27.278Z";"root";NA;"completion";30,0212253575505;"Prosocial";19,4170659861462;"Individualist";1;24,7191456718483;"slider";11;16;139;300;210;6,1;8,56;14,66;1
84;"female";24;"mouse";"serious";"slider_first";9,331425;559885,5;559,8855;"2026-06-09T18:15:34.836Z";"2026-06-09T18:24:54.721Z";"root";NA;"completion";33,2834008410999;"Prosocial";39,3006552975721;"Prosocial";1;36,292028069336;"slider";11;22;186;278;150;5,28;5,29;10,57;1
85;"male";58;"mouse";"serious";"slider_first";11,1743816666667;670462,9;670,4629;"2026-06-09T18:35:25.160Z";"2026-06-09T18:46:35.649Z";"root";NA;"completion";40,1792339219073;"Prosocial";42,8733323872234;"Prosocial";1;41,5262831545653;"ring";15;23;172;152;200;4,52;6,24;10,76;1
86;"female";28;"touchscreen";"serious";"ring_first";11,6329233333309;697975,399999857;697,975399999857;"2026-06-09T18:40:31.431Z";"2026-06-09T18:52:09.408Z";"root";NA;"completion";59,5110595001691;"Altruist";42,0342485279496;"Prosocial";1;50,7726540140593;"slider";11;21;153;255;273;6,28;6,07;12,35;1
87;"female";32;"keyboard";"serious";"ring_first";15,9613299999992;957679,799999952;957,679799999952;"2026-06-09T19:03:42.214Z";"2026-06-09T19:19:39.895Z";"root";NA;"completion";53,3229085120094;"Prosocial";43,7391481338819;"Prosocial";1;48,5310283229456;"slider";7;5;196;270;281;6,51;6,46;12,97;1
88;"female";27;"mouse";"serious";"ring_first";10,5770966666669;634625,800000012;634,625800000012;"2026-06-09T19:04:44.118Z";"2026-06-09T19:15:18.777Z";"root";NA;"completion";21,1285598606071;"Individualist";44,550336665744;"Prosocial";1;32,8394482631755;"slider";6;7;198;256;44;4;4,88;8,88;1
89;"female";35;"mouse";"serious";"slider_first";10,64462;638677,2;638,6772;"2026-06-09T19:34:46.805Z";"2026-06-09T19:45:25.483Z";"root";NA;"completion";45;"Prosocial";39,0018685454486;"Prosocial";1;42,0009342727243;"slider";15;14;104;203;270;5,73;5,82;11,55;1
90;"female";21;"touchscreen";"serious";"ring_first";18,1608333333333;1089650;1089,65;"2026-06-09T19:39:05.331Z";"2026-06-09T19:57:14.964Z";"root";NA;"completion";22,5531385269108;"Prosocial";42,0384186648913;"Prosocial";1;32,2957785959011;NA;NA;NA;NA;NA;NA;1;NA;1;NA
91;"female";22;"other1";"serious";"ring_first";13,1531166666667;789187;789,187;"2026-06-09T19:41:45.854Z";"2026-06-09T19:54:55.042Z";"root";NA;"completion";38,2835278964403;"Prosocial";38,2528619515734;"Prosocial";1;38,2681949240068;"ring";13;24;161;152;0;2,52;7,12;9,64;1
